timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:38:08.836,Msg1_PRACH,2894,289,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.866,Msg1_PRACH,3054,305,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.935,Msg1_PRACH,3214,321,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.966,Msg1_PRACH,3374,337,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:08.997,Msg1_PRACH,3534,353,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.066,Msg1_PRACH,3694,369,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.096,Msg1_PRACH,3854,385,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.127,Msg1_PRACH,4014,401,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.196,Msg1_PRACH,4174,417,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.227,Msg1_PRACH,4334,433,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.258,Msg1_PRACH,4494,449,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.327,Msg1_PRACH,4654,465,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.357,Msg1_PRACH,4814,481,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.388,Msg1_PRACH,4974,497,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.457,Msg1_PRACH,5134,513,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.487,Msg1_PRACH,5294,529,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.518,Msg1_PRACH,5454,545,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.588,Msg1_PRACH,5614,561,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.618,Msg1_PRACH,5774,577,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.649,Msg1_PRACH,5934,593,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.718,Msg1_PRACH,6094,609,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:38:09.749,Msg1_PRACH,6254,625,4,0x0039,0,40.0,0,transmitted
